model,protocol,mae,rmse,r2,mape_pct,n_train,n_test,seed
RF,G,10.411993549161313,15.168250197784838,0.8860338818926542,9.168163684377276,379,95,85
RF,G,13.281293197026377,18.549159556186975,0.8300178542102017,11.903237597136917,379,95,86
RF,G,13.964852947359251,18.74219011437956,0.7966840482256763,12.957561619701277,379,95,87
RF,G,12.833259322061332,16.401121878078854,0.8526889358024436,12.732533343430344,379,95,88
RF,G,14.023376438293331,18.67004966426872,0.7904446458567813,12.157668680918649,379,95,89
RF,G,15.648909736876435,19.395961856288952,0.7746080151273091,13.795848296068163,379,95,90
RF,G,16.74815972829182,20.93343076112391,0.7607302643214435,13.940706809479014,379,95,91
RF,G,10.334323456482457,13.93768721217951,0.8659864492441126,9.93794338399226,379,95,92
RF,G,14.4927405730701,20.367740211992725,0.7843273399374241,11.369945895133906,379,95,93
RF,G,16.109629452457643,22.44113025338434,0.7515005103894793,13.218864828237322,379,95,94
RF,G,15.59709387235992,20.50994325580697,0.7610512464351432,13.586214634949187,379,95,95
RF,G,13.505925195701778,18.19168516978137,0.8343162033206379,12.18946519071146,379,95,96
RF,G,13.939445867196879,18.551075037870657,0.776510548534156,11.60234506036976,379,95,97
RF,G,11.704103968216955,14.92914463921922,0.8526437814962918,11.392177648463168,379,95,98
RF,G,12.881814933189885,18.636848754546634,0.8582048286904715,11.064133718734462,379,95,99
MLP,R,9.824091969324893,13.171860925423722,0.9050142159893374,10.582933377130415,379,95,0
MLP,R,10.076758347241098,13.631825956361892,0.8931636839951502,10.865145887161686,379,95,1
MLP,R,10.664549762374993,16.827355846544197,0.8471117134839162,10.841591449530789,379,95,2
MLP,R,11.3238258675534,16.17491339194462,0.8300824526885455,11.27441389974653,379,95,3
MLP,R,11.10310998387893,15.723071374886786,0.8407271580003918,11.893169019842938,379,95,4
MLP,R,8.71410372256938,12.329844389809308,0.908119409853875,9.68205247620065,379,95,5
MLP,R,10.550202505387599,14.071568578082848,0.8761873434989877,11.089289233450769,379,95,6
MLP,R,9.915260248509982,15.436782184967578,0.8690639577736388,10.598563647679063,379,95,7
MLP,R,9.854875609856059,13.356966733774907,0.9045563784718316,10.673911396657006,379,95,8
MLP,R,9.750832867207976,13.247418839472168,0.9051508809578102,10.550718423923934,379,95,9
MLP,R,9.472898965707254,12.5086385714599,0.9151340500044935,10.655059169822533,379,95,10
MLP,R,11.649644345897176,16.013672770419824,0.8510262868857854,12.310142627486687,379,95,11
MLP,R,10.85803606099842,15.472831152713663,0.8992853474754929,10.90466242255957,379,95,12
MLP,R,10.214524073864462,14.220597854557836,0.9079245203970037,10.442435476716856,379,95,13
MLP,R,11.26349284592369,15.817912323933284,0.8547856199030298,12.080904090648108,379,95,14
MLP,R,10.357183674411823,13.669508290602806,0.9053796275826187,11.761380500063636,379,95,15
MLP,R,10.07258233138523,14.273508958163559,0.8923216111102807,11.037596834121986,379,95,16
MLP,R,10.237014705418458,14.153929546042669,0.8749975632712108,11.06319332890254,379,95,17
MLP,R,11.028182813340045,14.858255675671371,0.9052421250568612,11.344847835056848,379,95,18
MLP,R,10.337533918652813,13.148996279622152,0.9060697230293622,10.975995282293367,379,95,19
MLP,R,9.697175924575715,14.783238764749797,0.9087367305412933,9.693561410086833,379,95,20
MLP,R,10.349001223810397,13.738615187693554,0.9068082047745045,11.365928956023176,379,95,21
MLP,R,10.999612670970635,14.249241399763568,0.8797714634127888,12.648214936388843,379,95,22
MLP,R,10.687986033097053,15.091757477479675,0.8110164240350248,11.61414205315988,379,95,23
MLP,R,11.787819217894015,16.413233150912497,0.8742587910406237,12.091019482201727,379,95,24
MLP,R,9.437103782567403,13.356805056863545,0.8754914030922923,10.453314071811937,379,95,25
MLP,R,10.997861155382134,15.488786076595508,0.7970706079817684,11.472954514275722,379,95,26
MLP,R,8.414515723709021,11.082953563356563,0.9278770684673925,9.780698707091199,379,95,27
MLP,R,10.748979709422679,14.303329683045215,0.9058074368829876,10.831447628538635,379,95,28
MLP,R,10.531029723293992,14.516326403412261,0.8747608793840249,11.21504616756349,379,95,29
MLP,R,11.035666916101125,15.343336244647336,0.8596332225451246,11.889780854072807,379,95,30
MLP,R,11.169431239350958,16.282292702681207,0.853545180625912,11.667822116228031,379,95,31
MLP,R,8.973742939273398,12.16428556603285,0.9263295926509092,9.782818229426693,379,95,32
MLP,R,8.65298922468386,12.063371715176238,0.9218120935039958,10.797434020353412,379,95,33
MLP,R,9.548636689282507,14.664120103947276,0.8390876406298651,10.152193752726138,379,95,34
MLP,R,11.870237304039078,15.932470362570882,0.8387841210614101,12.503218378146597,379,95,35
MLP,R,10.223702651002112,14.626053253026488,0.8711433040402222,10.312420435688738,379,95,36
MLP,R,9.41368944540496,12.173018425857725,0.9108614435705149,10.287956772929965,379,95,37
MLP,R,9.779609101528658,13.391342177665651,0.8821256322841766,11.090942831621769,379,95,38
